Updates,Runtime,Time Slice,Size,Method
10,0.067263,PS,5M,R+PS+DS
10,8.077531,Exe,5M,R+PS+DS
10,0.07074,PS,50M,R+PS+DS
10,90.117241,Exe,50M,R+PS+DS
20,0.180708,PS,5M,R+PS+DS
20,8.286895,Exe,5M,R+PS+DS
20,0.176945,PS,50M,R+PS+DS
20,90.336288,Exe,50M,R+PS+DS
50,1.296448,PS,5M,R+PS+DS
50,9.151631,Exe,5M,R+PS+DS
50,1.294553,PS,50M,R+PS+DS
50,83.317419,Exe,50M,R+PS+DS
100,8.464362,PS,5M,R+PS+DS
100,18.761606,Exe,5M,R+PS+DS
100,8.45618,PS,50M,R+PS+DS
100,108.069307,Exe,50M,R+PS+DS
200,62.136978,PS,5M,R+PS+DS
200,12.35723,Exe,5M,R+PS+DS
200,62.218,PS,50M,R+PS+DS
200,132.074326,Exe,50M,R+PS+DS
10,63.62625,Reenact All,5M,R
10,722.298211,Reenact All,50M,R
20,81.121019,Reenact All,5M,R
20,878.796041,Reenact All,50M,R
50,133.294054,Reenact All,5M,R
50,1414.938007,Reenact All,50M,R
100,218.876265,Reenact All,5M,R
100,2310.841799,Reenact All,50M,R
200,400.708321,Reenact All,5M,R
200,4173.169062,Reenact All,50M,R
