Updates,Runtime,Time Slice,Size
10,9.105,Creation,5M
10,64.579,Exe,5M
10,36.928,Delta,5M
10,173.833,Creation,50M
10,749.96056,Exe,50M
10,499.663,Delta,50M
20,9.47,Creation,5M
20,75.901473,Exe,5M
20,35.062,Delta,5M
20,0,Creation,50M
20,0,Exe,50M
20,0,Delta,50M
50,9.419,Creation,5M
50,230.886,Exe,5M
50,34.922,Delta,5M
50,0,Creation,50M
50,0,Exe,50M
50,0,Delta,50M
100,9.724,Creation,5M
100,464.582205,Exe,5M
100,39.221,Delta,5M
100,0,Creation,50M
100,0,Exe,50M
100,0,Delta,50M
200,9.041,Creation,5M
200,1217.888,Exe,5M
200,47.29,Delta,5M
200,0,Creation,50M
200,0,Exe,50M
200,0,Delta,50M
